order_id,region,category,sales,discount,quantity,order_date,delivery_date,customer_type,payment_mode,profit,city
ORD100033,South,Clothing,3594.76,0.35,4,6/20/2023,6/22/2023,New,UPI,1002.97,Delhi
ORD100034,South,Personal Care,2899.46,0.28,5,9/20/2023,9/21/2023,Regular,Cash,320.43,Bangalore
ORD100035,North,Electronics,626.81,0.28,7,01-07-2024,01-12-2024,Regular,UPI,177.84,Mumbai
ORD100036,West,Home Care,2850.59,0.26,2,6/27/2024,07-01-2024,Regular,Card,528.38,Chennai
ORD100037,North,Grocery,3339.02,0.18,6,12/25/2024,12/26/2024,Member,Cash,586.69,Hyderabad
ORD100038,North,Home Care,4419.43,0.22,6,05-11-2024,5/14/2024,New,UPI,742.22,Pune
ORD100039,East,Personal Care,443.42,0.06,6,2/28/2023,03-05-2023,Member,Card,119.91,Bangalore
ORD100040,East,Grocery,1548.61,0.42,7,12-01-2023,12-03-2023,Regular,Cash,392.57,Pune
ORD100041,East,Personal Care,3492.47,0.44,3,1/30/2023,1/31/2023,Member,Card,765.08,Mumbai
ORD100042,South,Personal Care,268.23,0.38,5,9/17/2023,9/19/2023,Regular,Cash,48.54,Hyderabad
ORD100043,West,Clothing,1097.41,0.29,9,6/29/2024,07-02-2024,Member,Cash,235.05,Mumbai
ORD100044,West,Home Care,1171.48,0.28,9,5/17/2023,5/19/2023,Regular,Card,129.8,Chennai
ORD100045,West,Home Care,3379.7,0.24,7,11-12-2023,11/17/2023,Regular,Cash,588.79,Chennai
ORD100046,West,Clothing,1501.21,0.12,9,04-04-2024,04-08-2024,Member,Card,127.89,Pune
ORD100047,East,Home Care,3038.02,0.19,3,02-12-2024,2/19/2024,Regular,Cash,249.34,Chennai
ORD100048,South,Clothing,4830.21,0.49,7,9/18/2024,9/25/2024,New,Cash,1097.26,Chennai
ORD100049,South,Grocery,3986.89,0.07,1,07-02-2023,07-03-2023,Member,Cash,1139.21,Hyderabad
ORD100050,East,Personal Care,1731.22,0.27,7,09-04-2023,09-11-2023,Member,UPI,433.9,Bangalore
ORD100051,South,Personal Care,2414.76,0.43,3,1/29/2023,02-04-2023,Regular,Cash,687.58,Hyderabad
ORD100052,East,Home Care,1083.3,0.23,3,11-06-2023,11-10-2023,Member,Cash,114.25,Mumbai
ORD100053,West,Electronics,177.03,0.3,7,6/28/2023,6/29/2023,New,UPI,20.43,Hyderabad
ORD100054,East,Personal Care,1519.61,0.41,8,5/19/2024,5/26/2024,Member,UPI,237.01,Delhi
ORD100055,West,Clothing,1910.1,0.27,4,01-12-2024,1/14/2024,New,Cash,278.48,Pune
ORD100056,West,Electronics,2865.4,0.37,1,10-05-2023,10-07-2023,Member,Cash,356.81,Pune
ORD100057,North,Electronics,4725.93,0.17,5,4/27/2024,05-04-2024,New,Cash,581.75,Chennai
ORD100058,East,Personal Care,4744.48,0.37,4,10-03-2023,10-08-2023,Member,Card,1320.22,Bangalore
ORD100059,North,Personal Care,443.48,0.02,9,10/20/2023,10/22/2023,New,Card,42.23,Delhi
ORD100060,East,Personal Care,3111.76,0.08,3,05-08-2023,05-11-2023,Regular,Card,835.81,Bangalore
ORD100061,East,Clothing,307.53,0.32,4,11-03-2023,11-08-2023,Member,Cash,54.58,Pune
ORD100062,North,Electronics,3275.6,0.22,3,3/14/2023,3/15/2023,Member,Cash,922.83,Chennai
ORD100063,North,Home Care,676.75,0.41,3,01-08-2024,01-10-2024,New,Card,36.86,Mumbai
ORD100064,East,Clothing,4737.37,0.17,7,12/26/2024,12/27/2024,Member,UPI,499.78,Bangalore
ORD100065,South,Grocery,4335.26,0.38,5,03-09-2024,03-11-2024,New,UPI,757.48,Delhi
ORD100066,West,Personal Care,209.41,0.07,5,12/20/2024,12/25/2024,Regular,Cash,17.88,Pune
ORD100067,North,Electronics,3932.45,0.47,4,03-03-2023,03-09-2023,New,Cash,408.02,Bangalore
ORD100068,West,Clothing,3215.9,0.21,8,2/13/2023,2/16/2023,Member,Cash,542.06,Delhi
ORD100069,South,Grocery,2527.31,0.12,1,01-05-2024,01-06-2024,Regular,Card,611.45,Pune
ORD100070,South,Clothing,3052.91,0.39,9,06-06-2024,06-10-2024,New,Card,752,Delhi
ORD100071,South,Clothing,3423.43,0.47,9,11/24/2024,11/26/2024,New,Card,698.02,Bangalore
ORD100072,North,Home Care,4433.84,0.46,5,11/25/2024,11/30/2024,Regular,Cash,1229.3,Chennai
ORD100073,South,Home Care,3860.05,0.12,1,03-02-2023,03-09-2023,Member,UPI,800.39,Bangalore
ORD100074,North,Clothing,2919.35,0.34,2,4/27/2024,4/28/2024,Member,Card,163.35,Chennai
ORD100075,South,Grocery,4140.62,0.27,2,6/29/2023,07-06-2023,Member,UPI,743.22,Bangalore
ORD100076,West,Electronics,4935.92,0.36,6,9/26/2024,10-01-2024,Regular,UPI,1440.78,Delhi
ORD100077,West,Electronics,1570.89,0.24,9,1/22/2023,1/23/2023,New,UPI,336.22,Delhi
ORD100078,East,Personal Care,680.26,0.23,3,5/29/2024,06-01-2024,Regular,UPI,151.09,Bangalore
ORD100079,West,Personal Care,3684.1,0.44,8,12/16/2024,12/23/2024,New,UPI,289.32,Pune
ORD100080,East,Electronics,4895.12,0.44,2,11/28/2024,12-04-2024,Regular,Card,684.94,Chennai
ORD100081,West,Clothing,671.86,0.39,5,11/13/2024,11/15/2024,New,UPI,175.75,Hyderabad
ORD100082,North,Clothing,2215.37,0.35,4,7/26/2024,08-02-2024,New,Cash,171.87,Mumbai
ORD100083,West,Home Care,405.11,0.34,5,12/15/2023,12/16/2023,Regular,Card,105.25,Hyderabad
ORD100084,East,Home Care,3905.01,0.03,4,7/18/2024,7/25/2024,Regular,UPI,754.77,Hyderabad
ORD100085,East,Personal Care,4748.67,0.37,1,11-03-2024,11-07-2024,Regular,UPI,705.01,Pune
ORD100086,South,Electronics,2545.07,0.32,1,08-12-2023,8/14/2023,New,Card,719.11,Delhi
ORD100087,North,Clothing,2106.65,0.15,6,6/20/2024,6/22/2024,Regular,UPI,120.84,Delhi
ORD100088,West,Electronics,4547.82,0.41,8,11-02-2023,11-07-2023,New,Cash,1281.1,Chennai
ORD100089,South,Grocery,753.6,0.42,7,10/30/2023,11-01-2023,New,UPI,203.17,Mumbai
ORD100090,West,Electronics,4468.76,0.47,4,9/25/2024,9/26/2024,Regular,Card,1325.93,Mumbai
ORD100091,West,Grocery,2021.42,0.21,5,11/28/2024,12-01-2024,Member,Card,311.67,Hyderabad
ORD100092,South,Home Care,2841.09,0.28,8,12/22/2023,12/23/2023,Member,Card,469.27,Chennai
ORD100093,South,Home Care,2688.63,0.45,6,7/31/2024,08-06-2024,New,Cash,608.51,Mumbai
ORD100094,South,Personal Care,3118.3,0.16,8,12/19/2024,12/21/2024,New,UPI,241.86,Bangalore
ORD100095,South,Electronics,4716.4,0.4,6,9/26/2023,9/30/2023,Member,Card,523.02,Delhi
ORD100096,South,Electronics,4760.52,0.5,8,1/15/2023,1/21/2023,New,Cash,764.06,Hyderabad
ORD100097,West,Grocery,4172.63,0.33,4,06-01-2024,06-05-2024,Member,Cash,957.31,Mumbai
ORD100098,South,Home Care,1038.57,0.49,2,09-10-2023,9/16/2023,New,Card,180.83,Bangalore
ORD100099,North,Grocery,1734.23,0.26,3,3/26/2023,3/27/2023,New,Card,186.24,Hyderabad
ORD100100,East,Home Care,2490.34,0.08,5,07-07-2024,07-08-2024,Regular,Cash,306.17,Hyderabad
ORD100101,South,Grocery,4536.76,0.09,4,12/30/2024,12/31/2024,Member,Card,1077.11,Bangalore
ORD100102,South,Home Care,2652.24,0.37,5,06-12-2023,6/13/2023,New,Card,666.98,Delhi
ORD100103,West,Grocery,4889.43,0,1,8/25/2023,09-01-2023,Member,Cash,777.62,Chennai
ORD100104,South,Home Care,4920.82,0.33,1,3/23/2023,3/28/2023,Regular,UPI,483.88,Mumbai
ORD100105,South,Grocery,3033.06,0.08,2,08-12-2024,8/13/2024,Member,Card,587.57,Bangalore
ORD100106,South,Electronics,4399.73,0.49,2,02-06-2024,02-11-2024,New,Cash,660.08,Bangalore
ORD100107,West,Personal Care,4996.19,0.08,8,5/28/2023,5/30/2023,Member,Card,1047.87,Hyderabad
ORD100108,South,Grocery,4263.61,0.28,4,03-12-2024,3/13/2024,Regular,Card,1092.43,Pune
ORD100109,East,Personal Care,3318.86,0.33,6,09-12-2024,9/19/2024,Member,UPI,604.07,Hyderabad
ORD100110,West,Electronics,4241.15,0.41,2,7/13/2024,7/14/2024,Member,Card,1168.31,Pune
ORD100111,East,Electronics,505.01,0.23,1,06-04-2023,06-11-2023,Member,Card,71.8,Bangalore
ORD100112,West,Home Care,3210.62,0.47,7,08-10-2024,8/14/2024,Member,Card,546.45,Chennai
ORD100113,South,Personal Care,1160.96,0.24,4,05-09-2023,05-11-2023,New,Cash,223.68,Mumbai
ORD100114,East,Clothing,668.71,0.13,4,4/29/2023,05-01-2023,Member,Card,153.62,Hyderabad
ORD100115,West,Home Care,4475.07,0.3,2,9/27/2023,9/28/2023,Regular,Card,815.29,Delhi
ORD100116,North,Personal Care,3234.26,0.33,9,2/20/2024,2/27/2024,Member,Cash,817.55,Mumbai
ORD100117,South,Grocery,1293.38,0.25,2,01-10-2023,01-12-2023,Regular,Card,289.92,Chennai
ORD100118,West,Grocery,1995.23,0.37,5,2/14/2024,2/17/2024,Regular,Card,274.36,Pune
ORD100119,North,Electronics,4869.06,0.21,6,08-11-2023,8/17/2023,Regular,Card,1022.41,Bangalore
ORD100120,West,Clothing,4324.69,0,3,7/30/2024,08-03-2024,Regular,UPI,558.65,Chennai
ORD100121,North,Grocery,176.35,0.13,3,6/27/2023,6/29/2023,New,Cash,40.41,Pune
ORD100122,South,Personal Care,4901.02,0.47,6,6/26/2023,6/29/2023,Member,Cash,1045.7,Pune
ORD100123,East,Personal Care,1905.79,0.38,5,6/27/2024,07-04-2024,Member,Cash,179.78,Mumbai
ORD100124,North,Grocery,3507.55,0.09,5,7/30/2024,7/31/2024,New,UPI,789.67,Chennai
ORD100125,West,Personal Care,3592.12,0.03,5,1/26/2023,1/30/2023,Member,Cash,296.98,Mumbai
ORD100126,South,Personal Care,4567.25,0.18,9,7/16/2023,7/22/2023,New,Cash,333.34,Mumbai
ORD100127,North,Electronics,4436.8,0.42,8,2/14/2024,2/18/2024,Regular,Cash,934.84,Bangalore
ORD100128,West,Clothing,1480.47,0.05,4,03-06-2023,03-10-2023,Member,Card,197.42,Chennai
ORD100129,West,Electronics,3253.32,0.27,6,4/22/2024,4/25/2024,Regular,UPI,293.4,Chennai
ORD100130,West,Clothing,2029.16,0.14,5,1/31/2024,02-05-2024,Member,Card,602.37,Hyderabad
ORD100131,North,Personal Care,2675.16,0.36,6,4/28/2024,05-02-2024,Member,Cash,715.56,Hyderabad
ORD100132,North,Clothing,2817.92,0,8,10/25/2024,10/28/2024,Member,Card,265.5,Pune
ORD100133,North,Personal Care,2042.08,0.14,6,07-02-2023,07-08-2023,Regular,Cash,583.83,Bangalore
ORD100134,East,Personal Care,2373.08,0.34,6,8/23/2024,8/30/2024,New,Card,478.2,Delhi
ORD100135,North,Electronics,1120.88,0.27,2,9/21/2023,9/26/2023,Regular,Card,201.73,Delhi
ORD100136,North,Electronics,3077.47,0.39,7,12-01-2024,12-08-2024,New,UPI,428.41,Chennai
ORD100137,North,Home Care,3818.9,0.08,3,1/27/2023,1/30/2023,Member,Cash,497.78,Chennai
ORD100138,East,Grocery,2205.73,0.27,7,09-08-2023,09-11-2023,Member,UPI,167.08,Bangalore
ORD100139,North,Home Care,4890.63,0.1,5,5/22/2024,5/25/2024,Member,Cash,466.35,Pune
ORD100140,West,Home Care,380.41,0.32,4,12-03-2024,12-07-2024,Member,Cash,44.61,Hyderabad
ORD100141,North,Clothing,2986.89,0.07,1,05-08-2023,05-09-2023,Regular,Cash,699.11,Delhi
ORD100142,West,Personal Care,2959.64,0.07,8,2/20/2024,2/26/2024,New,Card,858.27,Mumbai
ORD100143,West,Personal Care,277.85,0.16,2,2/23/2024,2/27/2024,New,UPI,46.23,Mumbai
ORD100144,West,Personal Care,1200.39,0.2,8,10/17/2024,10/23/2024,New,Cash,171.37,Mumbai
ORD100145,East,Grocery,4537.16,0.25,7,2/24/2024,03-01-2024,Member,Cash,1201.33,Bangalore
ORD100146,East,Clothing,2768.12,0.29,3,10/31/2024,11-04-2024,Regular,Card,609.51,Hyderabad
ORD100147,East,Clothing,2238.29,0.23,7,8/17/2023,8/21/2023,Member,Cash,248.9,Bangalore
ORD100148,North,Personal Care,2135.93,0.02,1,6/27/2024,07-01-2024,New,Cash,394.17,Chennai
ORD100149,West,Home Care,4451.99,0.17,5,3/20/2023,3/25/2023,Regular,Card,1205.9,Pune
ORD100150,East,Grocery,1898.45,0.03,2,2/25/2023,03-02-2023,Regular,Card,408.16,Hyderabad
ORD100151,East,Home Care,4309.92,0.06,2,2/23/2023,2/26/2023,Member,Card,617.32,Mumbai
ORD100152,North,Electronics,1615.04,0.05,3,2/18/2024,2/20/2024,Regular,UPI,253.65,Mumbai
ORD100153,East,Clothing,2704.37,0.08,7,4/17/2024,4/23/2024,Regular,UPI,742.76,Pune
ORD100154,North,Clothing,804.72,0.41,2,6/15/2024,6/17/2024,Regular,UPI,182.68,Chennai
ORD100155,South,Home Care,4142.65,0.31,4,7/21/2023,7/22/2023,Member,Cash,735.37,Chennai
ORD100156,East,Grocery,3706.28,0.25,4,08-11-2023,8/18/2023,Member,UPI,813.65,Hyderabad
ORD100157,South,Clothing,2697.46,0.37,1,05-09-2023,05-12-2023,Regular,Cash,597.1,Chennai
ORD100158,North,Home Care,226.92,0.48,7,11/26/2023,12-02-2023,Member,UPI,43.53,Pune
ORD100159,West,Grocery,2458.16,0.21,4,10/19/2024,10/20/2024,Regular,Cash,508.56,Hyderabad
ORD100160,East,Home Care,1203.46,0.18,1,3/16/2024,3/21/2024,New,Cash,166.4,Hyderabad
ORD100161,North,Grocery,2125.53,0.49,3,05-08-2023,05-12-2023,New,Card,292.08,Bangalore
ORD100162,West,Personal Care,4296.49,0.39,8,5/21/2023,5/28/2023,Regular,UPI,579.12,Pune
ORD100163,West,Grocery,3871.06,0.39,4,4/14/2024,4/21/2024,New,Card,230.99,Mumbai
ORD100164,South,Electronics,1285.57,0.3,1,08-04-2024,08-05-2024,New,Cash,330.45,Chennai
ORD100165,North,Personal Care,4926.27,0.25,7,06-10-2023,06-11-2023,New,Cash,440.26,Chennai
ORD100166,West,Home Care,4525.73,0.28,8,3/24/2024,3/29/2024,Regular,UPI,332.86,Mumbai
ORD100167,East,Personal Care,2690.5,0.33,5,5/29/2024,06-01-2024,Member,Cash,418.96,Delhi
ORD100168,East,Personal Care,2697.74,0.19,9,1/24/2024,1/28/2024,Regular,UPI,458.18,Pune
ORD100169,South,Home Care,4516.2,0.39,7,06-07-2024,6/14/2024,Regular,UPI,522.95,Mumbai
ORD100170,West,Home Care,3217.11,0.45,4,10/16/2023,10/20/2023,Member,UPI,930.19,Delhi
ORD100171,North,Electronics,2729.77,0.29,9,05-03-2024,05-06-2024,Regular,Card,250.2,Delhi
ORD100172,East,Home Care,3770.83,0.19,6,1/27/2023,02-02-2023,Regular,UPI,729.42,Hyderabad
ORD100173,West,Clothing,1251.98,0.35,8,01-04-2024,01-09-2024,Regular,UPI,253.73,Chennai
ORD100174,West,Clothing,4404.05,0.09,2,1/13/2023,1/19/2023,New,UPI,941.87,Hyderabad
ORD100175,South,Electronics,2703.93,0.48,5,01-01-2024,01-06-2024,Regular,UPI,671.84,Pune
ORD100176,East,Grocery,3057.15,0.33,3,05-03-2023,05-04-2023,Regular,UPI,814,Hyderabad
ORD100177,East,Grocery,540.72,0.03,5,12/15/2024,12/17/2024,Member,Card,66.46,Delhi
ORD100178,North,Clothing,1616.59,0.26,8,09-11-2023,9/18/2023,New,UPI,479.33,Bangalore
ORD100179,East,Home Care,2191,0.38,6,12/15/2024,12/17/2024,New,Cash,336.28,Chennai
ORD100180,North,Electronics,2128.16,0.14,1,11-06-2024,11-11-2024,Regular,Cash,523.61,Pune
ORD100181,East,Grocery,3913.59,0.03,7,12/27/2023,12/30/2023,New,UPI,235.73,Mumbai
ORD100182,South,Grocery,1483.38,0.24,1,07-05-2023,07-11-2023,New,UPI,350.59,Chennai
ORD100183,East,Personal Care,992.34,0.42,1,11/16/2023,11/19/2023,Member,UPI,255.64,Hyderabad
ORD100184,North,Clothing,2954.82,0.13,4,03-09-2024,03-11-2024,Member,UPI,227.77,Chennai
ORD100185,North,Home Care,3113.57,0.36,9,9/25/2024,10-01-2024,New,UPI,393.92,Pune
ORD100186,South,Electronics,695.76,0.2,8,11/21/2024,11/24/2024,Member,Cash,112.67,Bangalore
ORD100187,East,Grocery,112.1,0.03,3,10-05-2024,10-08-2024,Regular,UPI,27.01,Delhi
ORD100188,East,Personal Care,4596.48,0.15,6,10/27/2023,11-03-2023,Member,UPI,838.45,Pune
ORD100189,South,Clothing,490.22,0.16,1,6/13/2024,6/20/2024,Regular,UPI,101.89,Pune
ORD100190,East,Clothing,4499.55,0.45,1,1/18/2023,1/24/2023,Member,Cash,639.71,Mumbai
ORD100191,East,Electronics,2056.15,0.49,6,4/20/2024,4/24/2024,New,Cash,549.93,Mumbai
ORD100192,North,Grocery,3299.97,0.1,5,01-06-2023,1/13/2023,Regular,UPI,467.32,Chennai
ORD100193,East,Electronics,1009.51,0.22,6,07-06-2023,07-12-2023,Member,Cash,170.18,Pune
ORD100194,East,Electronics,4137.19,0.49,9,12-03-2024,12-06-2024,Member,UPI,664.13,Delhi
ORD100195,South,Personal Care,982.95,0.2,5,02-12-2023,2/16/2023,Regular,Cash,242.2,Chennai
ORD100196,South,Clothing,1993.89,0.17,2,09-07-2023,9/13/2023,Member,UPI,508.95,Delhi
ORD100197,West,Home Care,1266.33,0.05,1,7/16/2023,7/20/2023,New,Card,350.09,Chennai
ORD100198,North,Clothing,4203.78,0.38,2,7/22/2023,7/28/2023,Regular,Cash,451.8,Hyderabad
ORD100199,East,Clothing,4305.85,0.22,8,07-08-2023,07-10-2023,New,Card,1195.98,Hyderabad
ORD100200,East,Personal Care,1922.94,0.32,1,4/17/2024,4/24/2024,Regular,Cash,235.46,Mumbai
ORD100201,West,Home Care,1606.15,0.25,6,9/30/2023,10-04-2023,Regular,Card,432.87,Pune
ORD100202,East,Grocery,3890.47,0.09,5,11/20/2024,11/25/2024,Regular,Cash,1028.18,Delhi
ORD100203,North,Home Care,4404.71,0.09,9,3/31/2023,04-01-2023,Regular,Cash,721,Delhi
ORD100204,West,Grocery,3157.7,0.47,4,9/27/2023,10-04-2023,New,UPI,788.19,Mumbai
ORD100205,North,Home Care,4644.28,0.44,5,07-04-2024,07-08-2024,New,Cash,1095.22,Mumbai
ORD100206,West,Electronics,1976.91,0.31,5,4/30/2023,05-05-2023,Regular,Cash,121.08,Mumbai
ORD100207,West,Home Care,844.24,0,2,7/20/2024,7/25/2024,Regular,Card,47.74,Bangalore
ORD100208,South,Personal Care,980.25,0.22,2,8/28/2023,8/31/2023,New,Card,70.55,Hyderabad
ORD100209,North,Grocery,3382.18,0.27,9,9/22/2023,9/27/2023,Regular,Card,970.91,Hyderabad
ORD100210,East,Clothing,2096.88,0.22,3,07-10-2023,7/13/2023,Regular,Card,478.55,Hyderabad
ORD100211,East,Personal Care,865.94,0.46,6,10-10-2023,10/15/2023,New,UPI,133.02,Pune
ORD100212,North,Grocery,1531.91,0.02,4,11-05-2024,11-07-2024,New,Card,161.16,Delhi
ORD100213,East,Grocery,2699.96,0.33,4,04-08-2024,04-10-2024,New,UPI,774.75,Pune
ORD100214,East,Clothing,695.08,0.16,5,12/26/2024,12/28/2024,Member,UPI,77.21,Delhi
ORD100215,North,Electronics,116.87,0.28,5,3/31/2023,04-02-2023,Regular,Card,21.73,Pune
ORD100216,West,Personal Care,4594.76,0.33,7,12/25/2023,12/31/2023,New,Card,509.07,Chennai
ORD100217,North,Clothing,1593.82,0.22,7,1/15/2024,1/17/2024,Regular,Card,369.28,Mumbai
ORD100218,West,Clothing,1185.34,0.07,1,6/16/2023,6/23/2023,Member,Cash,110.39,Hyderabad
ORD100219,East,Electronics,3522.56,0.26,6,11/22/2024,11/29/2024,New,Card,700.49,Chennai
ORD100220,East,Personal Care,4281.67,0.47,4,09-07-2024,09-12-2024,New,Card,909.46,Chennai
ORD100221,East,Clothing,3198.17,0.27,2,7/23/2024,7/27/2024,Regular,UPI,930.63,Pune
ORD100222,South,Electronics,1346.97,0.06,6,7/23/2023,7/27/2023,Regular,Card,270.37,Chennai
ORD100223,West,Personal Care,4322.02,0.41,7,05-06-2023,05-10-2023,New,Cash,740.19,Pune
ORD100224,South,Home Care,2601.09,0.11,2,04-09-2024,04-11-2024,New,Card,385.44,Delhi
ORD100225,South,Grocery,1967.83,0.19,2,12-11-2023,12/13/2023,Regular,Card,150.45,Chennai
ORD100226,North,Electronics,3063.16,0.21,7,10/30/2024,11-04-2024,Regular,UPI,706.04,Bangalore
ORD100227,South,Grocery,3533,0.17,9,03-01-2024,03-08-2024,New,Cash,394.98,Mumbai
ORD100228,North,Home Care,3009.77,0.2,3,6/23/2024,6/29/2024,Member,Cash,385.71,Chennai
ORD100229,North,Clothing,4609.2,0.4,3,7/30/2023,08-06-2023,Regular,Card,244.12,Chennai
ORD100230,South,Clothing,3177.29,0.11,8,9/23/2023,9/27/2023,Regular,Cash,682.33,Delhi
ORD100231,West,Personal Care,4405.05,0.24,2,9/24/2023,10-01-2023,Regular,Card,1055.96,Pune
ORD100232,West,Electronics,2976.1,0.01,9,09-11-2023,9/18/2023,New,UPI,219.01,Pune
ORD100233,West,Electronics,1715.43,0.25,7,07-07-2023,7/14/2023,New,Cash,144.54,Pune
ORD100234,West,Personal Care,2708.25,0.06,8,1/30/2023,02-05-2023,New,Card,692.61,Pune
ORD100235,West,Grocery,523.05,0.14,9,11-01-2023,11-04-2023,Regular,UPI,122.23,Mumbai
ORD100236,South,Clothing,1227.86,0.16,3,3/28/2024,3/30/2024,Regular,UPI,99.39,Delhi
ORD100237,South,Clothing,3854.54,0.04,6,11/30/2024,12-01-2024,Member,Card,600.08,Mumbai
ORD100238,East,Electronics,3341.23,0.18,8,11/29/2024,11/30/2024,New,UPI,427.47,Hyderabad
ORD100239,West,Electronics,915.94,0.25,1,10-06-2024,10-07-2024,New,UPI,83.32,Pune
ORD100240,South,Personal Care,2246.27,0.22,6,1/30/2023,02-06-2023,Regular,Card,358.48,Pune
ORD100241,East,Home Care,795.76,0.14,3,06-10-2023,6/15/2023,Regular,Cash,209.28,Pune
ORD100242,West,Grocery,4293.51,0.15,8,10-11-2024,10/14/2024,Member,Cash,1090.84,Delhi
ORD100243,North,Home Care,634.93,0.32,9,2/27/2024,2/29/2024,Regular,UPI,124.78,Mumbai
ORD100244,East,Home Care,3305.75,0.36,5,12/13/2023,12/18/2023,Regular,Card,627.83,Delhi
ORD100245,South,Electronics,3074.3,0.29,2,7/31/2024,08-04-2024,Regular,Cash,656.86,Pune
ORD100246,North,Electronics,2416.61,0.49,7,08-10-2023,8/14/2023,Member,Cash,710.07,Mumbai
ORD100247,North,Electronics,1463.35,0.47,6,07-07-2023,7/14/2023,Member,UPI,374.36,Mumbai
ORD100248,North,Home Care,2079.39,0.05,6,2/29/2024,03-02-2024,Member,UPI,214.85,Pune
ORD100249,East,Grocery,4051.32,0.13,1,07-02-2024,07-09-2024,Member,Cash,675.38,Delhi
ORD100250,South,Electronics,3831.6,0.43,1,5/25/2024,06-01-2024,Member,Card,906.63,Mumbai
ORD100251,North,Clothing,3720.16,0.01,6,7/25/2023,7/31/2023,New,Card,974.82,Pune
ORD100252,West,Grocery,3774.14,0.3,6,01-06-2024,01-08-2024,Regular,UPI,268.47,Mumbai
ORD100253,North,Clothing,805.04,0.48,4,4/18/2024,4/19/2024,Member,Cash,179.9,Hyderabad
ORD100254,North,Grocery,585.57,0.34,8,1/27/2024,1/30/2024,Member,Cash,51.66,Hyderabad
ORD100255,East,Electronics,4321.34,0.05,9,4/23/2024,4/24/2024,Member,UPI,330.56,Pune
